iid,gender,age,race,imprace,imprelig,field_cd,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1
2,0,25,4,7,9,8,5,7,7,10,2,1,1,10,4,8,8,10,1,8,8,1,7,10,10,9,7,1,21,22,7,21,11,18,16,22,11,25,15,11,20,20,20,20,20,20,20,20,20,20
3,1,23,4,3,7,8,1,4,3,7,10,1,7,10,9,9,2,2,7,9,8,9,10,8,10,10,2,8,16,16,16,20,16,16,14,19,17,17,17,16,16,21,21,21,21,16,21,21,21,21
4,0,26,4,1,1,5,6,7,3,5,4,1,1,10,7,7,8,5,1,10,8,6,10,10,10,4,1,1,13,15,22,27,5,18,18,26,17,26,8,5,33,17,21,20,9,25,11,9,15,40
5,0,23,4,8,10,8,6,1,3,7,3,2,2,9,5,6,8,6,1,5,5,3,7,9,9,9,6,3,16,16,16,16,19,17,16,19,16,16,16,17,16,12,9,50,13,34,15,8,29,14
6,0,23,4,8,10,8,1,1,3,7,8,4,6,9,7,8,8,9,8,9,4,5,8,8,8,6,4,6,5,20,20,21,17,17,21,20,15,14,11,19,21,21,22,19,17,18,18,18,21,25
7,0,23,4,8,8,8,6,7,7,6,8,2,5,10,9,9,9,8,2,9,9,9,7,10,10,9,5,1,14,16,19,21,12,18,12,21,18,18,16,15,16,23,14,31,16,16,21,18,31,14
8,0,23,4,2,2,8,2,6,5,10,1,1,1,2,7,7,3,1,1,2,5,6,6,7,7,9,4,1,5,40,30,15,10,0,5,30,30,5,30,0,20,25,23,10,22,100,0,0,0,0
9,0,24,4,4,10,5,2,7,1,5,6,7,6,9,8,8,7,8,9,7,8,8,9,10,10,10,8,8,12,18,12,18,20,20,12,18,12,18,20,20,20,20,20,20,20,20,20,20,20,20
10,1,24,4,10,10,8,4,6,3,13,8,5,7,9,4,6,4,9,7,6,5,4,9,8,8,3,1,5,72,21,0,0,0,7,69,0,0,0,0,31,62,22,16,0,0,70,25,5,0,0
11,0,25,4,1,8,8,1,2,2,7,8,3,6,8,6,8,6,5,4,7,8,8,8,9,9,6,3,8,10,20,20,15,20,15,10,20,20,20,20,10,20,10,30,10,30,20,10,30,10,30
12,0,23,4,1,1,8,6,2,1,7,4,2,4,6,9,7,8,3,9,9,6,5,7,8,7,5,4,2,15,18,18,20,14,15,22,17,17,21,8,15,14,9,20,36,21,26,13,16,30,15
13,1,25,4,5,7,8,1,2,3,7,10,10,7,8,4,2,6,10,3,6,5,3,8,8,8,3,7,5,51,10,5,10,10,14,34,24,11,11,5,15,20,22,21,18,19,20,20,20,20,20
14,1,24,4,7,9,5,5,7,5,5,6,4,2,8,8,9,8,6,1,5,1,4,7,7,9,2,1,7,10,35,15,13,15,12,15,30,10,15,25,5,10,30,25,10,25,10,25,30,10,25
15,1,23,4,1,8,8,1,7,2,7,10,10,10,10,7,7,3,7,8,6,6,2,8,10,10,7,1,6,39,29,6,3,10,13,14,20,24,20,19,3,22,17,15,24,22,21,18,19,24,18
16,1,24,4,10,10,8,4,7,4,7,10,10,5,8,8,7,10,9,4,9,2,2,8,9,8,5,2,10,16,29,27,16,12,0,25,22,15,22,16,0,16,30,30,9,15,16,30,24,10,20
17,0,24,4,9,9,8,1,1,3,7,6,5,6,8,7,5,4,3,6,7,8,6,8,9,9,9,8,6,7,32,20,13,22,6,17,14,16,13,15,25,20,19,23,21,17,20,20,18,14,28
18,0,23,4,5,10,5,5,7,1,5,8,2,6,8,6,6,6,9,2,6,9,9,9,9,9,9,9,3,20,19,17,18,3,23,22,21,23,21,8,5,11,26,13,12,38,15,13,17,28,27
19,1,24,4,9,10,8,1,7,4,13,8,5,1,8,3,6,8,10,1,4,5,6,7,5,4,5,1,6,40,30,30,0,0,0,25,5,5,40,25,0,19,36,5,4,36,20,0,20,10,50
20,1,25,4,1,6,5,2,7,1,5,2,1,1,8,10,10,5,10,1,10,7,8,10,10,10,4,1,6,20,25,15,20,0,20,30,20,5,15,30,0,0,35,30,35,0,5,18,37,30,10
21,1,24,4,10,10,8,6,6,3,7,7,10,10,10,3,5,7,7,1,6,7,2,8,10,10,4,1,8,20,20,14,15,15,16,14,13,19,19,25,10,21,15,21,22,21,23,17,22,18,20
22,0,22,4,5,8,8,1,7,3,7,8,5,7,10,10,9,9,3,9,6,4,7,7,7,7,7,7,7,5,17,30,10,24,14,6,12,30,14,25,13,6,13,22,17,42,12,29,20,20,19
